type,name,iso_country,municipality,iata_code
small_airport,Utirik Airport,MH,Utirik Island,UTK
small_airport,Ocean Reef Club Airport,US,Key Largo,OCA
small_airport,Cuddihy Field,US,Corpus Christi,CUX
small_airport,Crested Butte Airpark,US,Crested Butte,CSE
small_airport,Columbus Airport,US,Columbus,CUS
small_airport,LBJ Ranch Airport,US,Stonewall,JCY
small_airport,Nunapitchuk Airport,US,Nunapitchuk,NUP
small_airport,Icy Bay Airport,US,Icy Bay,ICY
small_airport,Kalakaket Creek AS Airport,US,Kalakaket Creek,KKK
small_airport,Dunsmuir Muni-Mott Airport,US,Dunsmuir,MHS
small_airport,Chase Field Industrial Airport,US,Beeville,NIR
small_airport,Grand Canyon Bar Ten Airstrip,US,Littlefield,GCT
small_airport,Lime Village Airport,US,Lime Village,LVD
small_airport,Hog River Airport,US,Hogatza,HGZ
small_airport,Ed-Air Airport,US,Oaktown,OTN
small_airport,Telida Airport,US,Telida,TLF
small_airport,Eagle Air Park,US,Brazoria,BZT
small_airport,Blakely Island Airport,US,Blakely Island,BYW
small_airport,Drift River Airport,US,Kenai,DRF
small_airport,Rinkenberger Restricted Landing Area,US,Bradford,BDF
small_airport,Tetlin Airport,US,Tetlin,TEH
small_airport,Roy Otten Memorial Airfield,US,Versailles,VRS
small_airport,Atmautluak Airport,US,Atmautluak,ATT
small_airport,Livengood Camp Airport,US,Livengood,LIV
small_airport,Pedro Bay Airport,US,Pedro Bay,PDB
small_airport,Ouzinkie Airport,US,Ouzinkie,KOZ
small_airport,Tununak Airport,US,Tununak,TNK
small_airport,Minto Al Wright Airport,US,Minto,MNT
medium_airport,Aleknagik / New Airport,US,Aleknagik,WKK
small_airport,Rollang Field,US,Rolling Fork,RFK
small_airport,Naknek Airport,US,Naknek,NNK
small_airport,Southern Seaplane Airport,US,Belle Chasse,BCS
small_airport,Minute Man Air Field,US,Stow,MMN
small_airport,Earl Henry Airport,US,Blackwell,BWL
small_airport,Center Island Airport,US,Center Island,CWS
small_airport,Tatitlek Airport,US,Tatitlek,TEK
small_airport,Pine Island Airport,US,Corolla,DUF
small_airport,Stuart Island Airpark,US,Friday Harbor,SSW
small_airport,Fort Bragg Airport,US,Fort Bragg,FOB
small_airport,Maxson Airfield,US,Alexandria Bay,AXB
small_airport,Reese Airpark,US,Lubbock,REE
small_airport,Waldron Airstrip,US,Eastsound,WDN
small_airport,Chuathbaluk Airport,US,Chuathbaluk,CHU
small_airport,Ugashik Airport,US,Ugashik,UGS
small_airport,Levelock Airport,US,Levelock,KLL
small_airport,Tuntutuliak Airport,US,Tuntutuliak,WTL
small_airport,Twin Hills Airport,US,Twin Hills,TWA
small_airport,Chignik Lake Airport,US,Chignik Lake,KCQ
small_airport,Adado Airport,SO,Adado,AAD
small_airport,Atkamba Airport,PG,Atkamba Mission,ABP
small_airport,Arica Airport,CO,Arica,ACM
small_airport,El Daein Airport,SD,El Daein,ADV
small_airport,Adareil Airport,SS,Adar,AEE
small_airport,Ar Horqin Airport,CN,Chifeng,AEQ
small_airport,Afutara Aerodrome,SB,Bila,AFT
small_airport,Ulawa Airport,SB,Arona,RNA
small_airport,Uru Harbour Airport,SB,Atoifi,ATD
small_airport,Barakoma Airport,SB,Barakoma,VEV
small_airport,Batuna Aerodrome,SB,Batuna Mission Station,BPF
small_airport,Geva Airport,SB,Liangia,GEF
small_airport,Angoram Airport,PG,Angoram,AGG
small_airport,Gwaunaru'u Airport,SB,Auki,AKS
small_airport,Bellona/Anua Airport,SB,Anua,BNY
small_airport,Choiseul Bay Airport,SB,Choiseul Bay,CHY
small_airport,Ballalae Airport,SB,Ballalae,BAS
small_airport,Fera/Maringe Airport,SB,Fera Island,FRE
large_airport,Honiara International Airport,SB,Honiara,HIR
small_airport,Babanakira Airport,SB,Mbambanakira,MBU
small_airport,Avu Avu Airport,SB,Avu Avu,AVU
small_airport,Ngorangora Airport,SB,Kirakira,IRA
small_airport,Santa Cruz/Graciosa Bay/Luova Airport,SB,Santa Cruz/Graciosa Bay/Luova,SCZ
medium_airport,Munda Airport,SB,Munda,MUA
small_airport,Nusatupe Airport,SB,Gizo,GZO
small_airport,Mono Airport,SB,Stirling Island,MNY
small_airport,Parasi Airport,SB,Parasi,PRS
small_airport,Rennell/Tingoa Airport,SB,Rennell Island,RNL
small_airport,Sege Airport,SB,Sege,EGM
small_airport,Santa Ana Airport,SB,Santa Ana Island,NNB
small_airport,Marau Airport,SB,Marau,RUS
small_airport,Suavanao Airport,SB,Suavanao,VAO
small_airport,Yandina Airport,SB,Yandina,XYA
small_airport,Kagua Airport,PG,Kagua,AGK
small_airport,Kaghau Airport,SB,Kagau Island,KGE
small_airport,Kukudu Airport,SB,Kolombangara Island,KUE
small_airport,Kwailabesi Airport,SB,Kwailabesi,KWS
small_airport,Lomlom Airport,SB,Lomlom,LLM
small_airport,Nana Airport,SB,Star Harbor,NAZ
small_airport,Manaoba Airport,SB,Manaoba,MHM
small_airport,Gatokae Aerodrome,SB,Gatokae,GTA
small_airport,Ringi Cove Airport,SB,Ringi Cove,RIN
small_airport,Ramata Airport,SB,Ramata,RBV
small_airport,Ambatolhy Airport,MG,Ambatolahy,AHY
small_airport,Ailinglaplap Airok Airport,MH,Bigatyelang Island,AIC
small_airport,Chena Hot Springs Airport,US,Chena Hot Springs,CEX
small_airport,Solomon State Field,US,Solomon,SOL
small_airport,Herendeen Bay Airport,US,Herendeen Bay,HED
small_airport,Taylor Airport,US,Taylor,TWE
small_airport,Candle 2 Airport,US,Candle,CDL
small_airport,Boswell Bay Airport,US,Boswell Bay,BSW
small_airport,Zakuoma Airport,TD,ZaKouma,AKM
small_airport,Syunik Airport,AM,Kapan,YUK
small_airport,Alto Molocue Airport,MZ,Alto Molocue,AME
small_airport,Ambatomainty Airport,MG,,AMY
medium_airport,Nauru International Airport,NR,Yaren District,INU
small_airport,Angus Downs Airport,AU,Angus Downs Station,ANZ
small_airport,Catoca Airport,AO,Saurimo,CTV
small_airport,Andulo Airport,AO,Andulo,ANL
small_airport,Cangamba Airport,AO,Cangamba,CNZ
small_airport,Dirico Airport,AO,Dirico,DRC
small_airport,N'dalatando Airport,AO,N'dalatando,NDF
small_airport,Annanberg Airport,PG,,AOB
small_airport,Abou-DeÃ¯a Airport,TD,Abou-DeÃ¯a,AOD
small_airport,Asapa Airport,PG,,APP
small_airport,Girdwood-Alyeska Airport,US,Girdwood,AQY
small_airport,Bragado Airport,AR,Bragado,QRF
small_airport,Caleta Olivia Airport,AR,Caleta Olivia,CVI
small_airport,Charata Airport,AR,Charata,CNT
small_airport,General Villegas Airport,AR,General Villegas,VGS
small_airport,Los Menucos Airport,AR,Los Menucos,LMD
small_airport,Valcheta Airport,AR,Valcheta,VCF
small_airport,Carmen de Patagones Airport,AR,Carmen de Patagones,CPG
small_airport,Aragip Airport,PG,,ARP
small_airport,Asirim Airport,PG,,ASZ
small_airport,Lady Elliot Island Airstrip,AU,Lady Elliot Island,LYT
small_airport,Gruyere Airport,AU,Cosmo Newbery,GYZ
small_airport,Agnew Airport,AU,Agnew,AGW
small_airport,Alroy Downs Airport,AU,Alroy Downs,AYD
small_airport,Baniyala Airport,AU,Baniyala,BYX
small_airport,Coolibah Airport,AU,Coolibah,COB
small_airport,Coorabie Airport,AU,Coorabie,CRJ
small_airport,Carlton Hill Airport,AU,Carlton Hill,CRY
small_airport,Cresswell Downs Airport,AU,Cresswell Downs,CSD
small_airport,Diamantina Lakes Airport,AU,Diamantina Lakes,DYM
small_airport,Helenvale Airport,AU,Helenvale,HLV
small_airport,Kimberley Downs Airport,AU,Kimberley Downs,KBD
small_airport,Kulgera Airport,AU,Ghan,KGR
small_airport,Peppimenarti Airport,AU,Peppimenarti,PEP
small_airport,Rockhampton Downs Airport,AU,Rockhampton Downs,RDA
small_airport,Sturt Creek Airport,AU,Sturt Creek,SSK
small_airport,Shaw River Airport,AU,Shaw River,SWB
small_airport,Torwood Airport,AU,Torwood,TWP
small_airport,Springvale Airport,AU,Springvale,ZVG
